movieTitle,movieRating,yearReleased,runtime
Dragon Ball Z: Chikyû Marugoto Chôkessen,6.8,1990,60
The Crocodile Hunter: Collision Course,5.4,2002,90
Gantz,6.4,2010,130
Ne Zha zhi mo tong jiang shi,7.4,2019,110
Dragon Ball Z: Gekitotsu!! 100-oku Power no Senshi-tachi,6.9,1992,45
Essential Killing,6.1,2010,83
Loin du périph,5.7,2022,119
Crown Vic,6.4,2019,110
Xi yang tian shi,6.6,2002,111
Control,6.2,2004,104
Dragon Ball Z: Tobikkiri no Saikyô tai Saikyô,7.1,1991,47
Deuces Wild,5.6,2002,96
The VelociPastor,5.0,2018,75
Hong hai xing dong,6.6,2018,142
Metro,6.4,2013,133
Kiborgy. Heroyi ne vmyrayut,7.5,2017,112
MSG the Warrior: Lion Heart,7.2,2016,120
Murder 2,6.3,2011,127
Doragon bôru Z: Kyokugen batoru!! San dai sûpâ saiyajin,7.0,1992,46
Gekijô-ban Naruto: Daikatsugeki! Yukihime ninpôchô dattebayo!!,6.6,2004,82
