actorID,actorName
nm0001475,John Lithgow
nm0005476,Hilary Swank
nm0000129,Tom Cruise
nm1289434,Emily Blunt
nm0000200,Bill Paxton
nm0322407,Brendan Gleeson
nm0638824,Michael Nyqvist
nm0654295,Alfie Allen
nm1663205,Sharlto Copley
nm3107870,David James
nm2271261,Jason Cope
nm1410076,Nathalie Boltt
nm0748620,Paul Rudd
nm0000140,Michael Douglas
nm1015684,Corey Stoll
nm1431940,Evangeline Lilly
nm0000513,William H. Macy
nm0000531,Frances McDormand
nm0001780,Peter Stormare
nm0000147,Colin Firth
nm0000307,Helena Bonham Carter
nm0001394,Derek Jacobi
nm0257969,Mireille Enos
nm2020146,Daniella Kertesz
nm0197647,James Badge Dale
nm5473782,Taron Egerton
nm0000450,Philip Seymour Hoffman
nm7887725,Fionn Whitehead
nm4422686,Barry Keoghan
nm0753314,Mark Rylance
nm0000474,Michael Keaton
nm0000673,Marisa Tomei
nm3154303,Timothée Chalamet
nm0272581,Rebecca Ferguson
nm1419440,Ivana Baquero
nm0317725,Ariadna Gil
nm0530365,Sergi López
nm0893941,Maribel Verdú
nm0832792,Ken Stott
nm0996669,Common
nm0000199,Al Pacino
nm0000174,Val Kilmer
nm0000685,Jon Voight
nm2933757,Gal Gadot
nm1517976,Chris Pine
nm0205063,Lucy Davis
nm0000547,Alfred Molina
nm1297015,Emma Stone
nm0406975,Rhys Ifans
nm0451234,Irrfan Khan
nm1200692,Eva Green
nm0842770,Tilda Swinton
nm0000566,Julia Ormond
nm0331516,Ryan Gosling
nm1659547,Carey Mulligan
nm0186505,Bryan Cranston
nm0428065,Felicity Jones
nm0526019,Diego Luna
nm0876138,Alan Tudyk
nm0947447,Donnie Yen
nm0857620,Justin Theroux
nm0524197,Josh Lucas
nm0756083,Bill Sage
nm0397171,Bryce Dallas Howard
nm1339223,Ty Simpkins
nm0339460,Judy Greer
nm0341743,Richard Griffiths
nm0479471,Shia LaBeouf
nm1083271,Megan Fox
nm0241049,Josh Duhamel
nm0879085,Tyrese Gibson
nm0000195,Bill Murray
nm0000510,Andie MacDowell
nm0254402,Chris Elliott
nm0864997,Stephen Tobolowsky
nm0000179,Jude Law
nm0835016,Mark Strong
nm0000434,Mark Hamill
nm0000402,Carrie Fisher
nm0843059,Eric Sykes
nm2057859,Andrea Riseborough
nm4139037,Suraj Sharma
nm1300009,Adil Hussain
nm0007102,Tabu
nm1183149,Edgar Ramírez
nm0000260,Joan Allen
nm0005466,Julia Stiles
nm2257207,Daniel Kaluuya
nm4129745,Allison Williams
nm0925966,Bradley Whitford
nm0001416,Catherine Keener
nm0068338,Kristen Bell
nm0579953,Idina Menzel
nm2676147,Jonathan Groff
nm1265802,Josh Gad
nm0000681,Vince Vaughn
nm0001315,Marcia Gay Harden
nm0532235,Seth MacFarlane
nm0570364,Joel McHale
nm0000656,Madeleine Stowe
nm0577828,Joseph Melito
nm0000463,Famke Janssen
nm0000273,Alan Arkin
nm0000621,Kurt Russell
nm0000492,Jennifer Jason Leigh
nm0324658,Walton Goggins
nm2835616,Dean-Charles Chapman
nm1126657,George MacKay
nm0990547,Daniel Mays
nm0636426,Noomi Rapace
nm1334869,Logan Marshall-Green
nm1679669,Rosemarie DeWitt
nm1192254,Maggie Grace
nm0650702,Leland Orser
nm0704270,Zachary Quinto
nm0670408,Simon Pegg
nm0000559,Leonard Nimoy
nm0000166,Helen Hunt
nm0584052,Paul Sanchez
nm0925096,Lari White
nm0333410,Topher Grace
nm0002006,Thomas Haden Church
nm5421877,Julian Dennison
nm0000148,Harrison Ford
nm0000346,Macaulay Culkin
nm0827663,Daniel Stern
nm0001334,John Heard
nm0000358,Daniel Day-Lewis
nm0200452,Paul Dano
nm0001354,Ciarán Hinds
nm2872491,Martin Stringer
nm0148418,Michael Cera
nm0158856,Choi Min-sik
nm0949167,Yoo Ji-tae
nm1367246,Kang Hye-jeong
nm1366028,Kim Byeong-Ok
nm0001288,Kelsey Grammer
nm1113550,Abigail Breslin
nm0002076,Jason Flemyng
nm0002077,Dexter Fletcher
nm0602941,Nick Moran
nm0000107,Kim Basinger
nm0000210,Julia Roberts
nm0295484,Anna Friel
nm0180411,Abbie Cornish
nm0001687,Gena Rowlands
nm0001258,James Garner
nm0000597,Bill Pullman
nm0000400,Linda Fiorentino
nm0000352,Vincent D'Onofrio
nm4271336,Shameik Moore
nm2159926,Jake Johnson
nm2794962,Hailee Steinfeld
nm0991810,Mahershala Ali
nm0488953,Brie Larson
nm0578853,Ben Mendelsohn
nm1093951,Aaron Taylor-Johnson
nm0000115,Nicolas Cage
nm1631269,Chloë Grace Moretz
nm0113595,Garrett M. Brown
nm1475594,Channing Tatum
nm0001084,Ice Cube
nm0296545,Nick Frost
nm0038918,Kate Ashfield
nm0000623,Rene Russo
nm1981893,Riz Ahmed
nm0803889,Bill Skarsgård
nm5897057,Jaeden Martell
nm6016511,Finn Wolfhard
nm6096118,Sophia Lillis
nm0149822,Mithun Chakraborty
nm0451600,Anupam Kher
nm1069587,Darshan Kumaar
nm0430809,Pallavi Joshi
nm0631490,Bill Nighy
nm5052065,Ansel Elgort
nm1256532,Jon Bernthal
nm0358316,Jon Hamm
nm2555462,Eiza González
nm0249291,Joel Edgerton
nm0608090,Samantha Morton
nm0001884,Max von Sydow
nm0005023,Djimon Hounsou
nm2218894,Kagiso Kuypers
nm0355097,Jackie Earle Haley
nm0933940,Patrick Wilson
nm0001303,Carla Gugino
nm0015196,Malin Akerman
nm2539953,Alicia Vikander
nm4420495,Sonoya Mizuno
nm0000381,Anthony Edwards
nm0136797,Steve Carell
nm0781981,Jason Segel
nm1258970,Russell Brand
nm0000267,Julie Andrews
nm0000932,Halle Berry
nm0004376,Franka Potente
nm0177933,Chris Cooper
nm0000658,Meryl Streep
nm1785339,Rami Malek
nm2377903,Lucy Boynton
nm3152605,Gwilym Lee
nm5228887,Ben Hardy
nm0005256,Bridget Moynahan
nm0339304,Bruce Greenwood
nm3478396,Luke Bracey
nm1954240,Teresa Palmer
nm1024677,John Krasinski
nm8075925,Millicent Simmonds
nm7415871,Noah Jupe
nm0051509,Eric Bana
nm0002103,Julian Glover
nm0004851,Penélope Cruz
nm0574534,Ian McShane
nm0465269,Karin Konoval
nm1385871,Olga Kurylenko
nm5645519,Anthony Gonzalez
nm0305558,Gael García Bernal
nm0000973,Benjamin Bratt
nm0005513,Alanna Ubach
nm0000232,Sharon Stone
nm0000249,James Woods
nm0004950,Jennifer Garner
nm0000867,Jason Bateman
nm0913475,John David Washington
nm4456120,Elizabeth Debicki
nm1798449,Juhan Ulfsak
nm0628601,Thandiwe Newton
nm1535523,Jaden Smith
nm0397788,Brian Howe
nm0221046,Zooey Deschanel
nm0034309,Geoffrey Arend
nm1157358,Michelle Monaghan
nm0267812,Vera Farmiga
nm0503567,Logan Lerman
nm3009232,Ezra Miller
nm0005377,Sam Rockwell
nm2655177,Caleb Landry Jones
nm0515296,Ron Livingston
nm0000666,Lili Taylor
nm0004802,Linda Cardellini
nm1724319,Sebastian Maniscalco
nm5896355,Anya Taylor-Joy
nm4726634,Haley Lu Richardson
nm4088627,Jessica Sula
nm0329481,Ginnifer Goodwin
nm0252961,Idris Elba
nm2809577,Jenny Slate
nm0000630,Liev Schreiber
nm0396812,Danny Huston
nm0316079,Paul Giamatti
nm0402271,Charlie Hunnam
nm0452860,Rinko Kikuchi
nm0206359,Charlie Day
nm0671567,Michael Peña
nm0001401,Angelina Jolie
nm0111013,Adam Brody
nm0906756,Amr Waked
nm0931329,Michelle Williams
nm2020278,Scott Haze
nm0000239,Liv Tyler
nm0000458,William Hurt
nm1092227,Sienna Miller
nm0973177,Kyle Gallner
nm6518675,Cole Konis
nm0000424,Hugh Grant
nm0567356,Martine McCutcheon
nm0001848,Dianne Wiest
nm0001309,Anthony Michael Hall
nm0005110,Ashton Kutcher
nm0005442,Amy Smart
nm0001828,Melora Walters
nm0711805,Elden Henson
nm1745736,Paula Patton
nm0001872,Steve Zahn
nm0383603,Freddie Highmore
nm0446303,David Kelly
nm0001459,Denis Leary
nm0000491,John Leguizamo
nm0005380,Ray Romano
nm0899681,Goran Visnjic
nm0001427,Greg Kinnear
nm2052567,Jae Head
nm0597388,Jason Momoa
nm1720028,Amber Heard
nm0117709,Daniel Brühl
nm1312575,Olivia Wilde
nm0487884,Alexandra Maria Lara
nm0085312,Jack Black
nm0000163,Dustin Hoffman
nm1519666,Eddie Redmayne
nm2239702,Katherine Waterston
nm0837223,Alison Sudol
nm0283945,Dan Fogler
nm0000170,Milla Jovovich
nm3729721,Dylan O'Brien
nm2546012,Kaya Scodelario
nm1032473,Thomas Brodie-Sangster
nm0000560,Nick Nolte
nm0607185,Jennifer Morrison
nm1249052,Riccardo Scamarcio
nm3199307,Ruby Rose
nm0498449,Will Yun Lee
nm5148840,Tao Okamoto
nm3822462,Rila Fukushima
nm3994407,Ryan Potter
nm0012523,Scott Adsit
nm1512166,Jamie Chung
nm5831542,Barkhad Abdi
nm5831543,Barkhad Abdirahman
nm0004051,Brian Cox
nm0818055,Octavia Spencer
nm0001876,Catherine Zeta-Jones
nm0564277,Chi McBride
nm0940362,Shailene Woodley
nm3772243,Theo James
nm2541974,Jai Courtney
nm0829576,Kristen Stewart
nm0121605,Billy Burke
nm1020124,Sarah Clarke
nm0601553,Mandy Moore
nm1157048,Zachary Levi
nm0614220,Donna Murphy
nm0000579,Ron Perlman
nm3485845,Adam Driver
nm0000576,Sean Penn
nm0002536,Emmy Rossum
nm0000610,Giovanni Ribisi
nm0267506,Anna Faris
nm0364813,Jared Harris
nm0000261,Karen Allen
nm0641314,Paige O'Hara
nm0000913,Robby Benson
nm0181425,Jesse Corti
nm0263591,Rex Everhart
nm0837177,Jason Sudeikis
nm0000098,Jennifer Aniston
nm0731075,Emma Roberts
nm4350114,Tom Prior
nm6240141,Sophie Perry
nm1107001,Anthony Mackie
nm1310016,Brian Geraghty
nm0000150,Michael J. Fox
nm0000502,Christopher Lloyd
nm0005460,Mary Steenburgen
nm0001855,Tom Wilson
nm0000598,Dennis Quaid
nm0005231,Dash Mihok
nm0266824,Dakota Fanning
nm0001584,Miranda Otto
nm2528248,Steve Wiebe
nm4446467,Tye Sheridan
nm4972453,Olivia Cooke
nm2913119,Lena Waithe
nm0000980,Jim Broadbent
nm0000706,Michelle Yeoh
nm3513533,Stephanie Hsu
nm0702841,Ke Huy Quan
nm0175262,Billy Connolly
nm0040472,William Atherton
nm0005392,Keri Russell
nm2240346,Kodi Smit-McPhee
nm2244205,Léa Seydoux
nm0000243,Denzel Washington
nm0000160,Ethan Hawke
nm0001277,Scott Glenn
nm0000297,Tom Berenger
nm0539082,Romany Malco
nm0001215,Albert Finney
nm0001082,Billy Crudup
nm0001448,Jessica Lange
nm0001125,Benicio Del Toro
nm0077397,Elizabeth Berrington
nm0000409,Brendan Fraser
nm0001838,Rachel Weisz
nm0001314,John Hannah
nm0903677,Arnold Vosloo
nm0037410,Karina Arroyave
nm0935541,Mary Elizabeth Winstead
nm0001085,Kieran Culkin
nm0447695,Anna Kendrick
nm0647634,Elizabeth Olsen
nm0005562,Owen Wilson
nm0000056,Paul Newman
nm1249256,Larry the Cable Guy
nm0000322,Emmanuelle Béart
nm0001089,Henry Czerny
nm0918334,Scott Weinger
nm0488306,Linda Larkin
nm0293455,Jonathan Freeman
nm0000604,John C. Reilly
nm1442113,Jack McBrayer
nm0528331,Jane Lynch
nm0798971,Sarah Silverman
nm0000671,Billy Bob Thornton
nm0004978,Adrian Grenier
nm0000144,Cary Elwes
nm1191481,Leigh Whannell
nm0000418,Danny Glover
nm0504962,Ken Leung
nm0298281,Kurt Fuller
nm0915208,Naomi Watts
nm1020089,Sally Hawkins
nm0427964,Doug Jones
nm5016878,Jacob Tremblay
nm0108703,Sean Bridgers
nm0187724,Wendy Crewson
nm1393354,Kristen Connolly
nm0404307,Anna Hutchison
nm0469823,Fran Kranz
nm0001774,Ben Stiller
nm0434854,Jeff Kahn
nm0000592,Pete Postlethwaite
nm0004829,Spencer Treat Clark
nm1985859,Mia Wasikowska
nm0614165,Cillian Murphy
nm0001172,Christopher Eccleston
nm0658099,Alex Palmer
nm0531808,Kelly Macdonald
nm0000668,Emma Thompson
nm0910278,Julie Walters
nm1086543,Amanda Seyfried
nm0056187,Sacha Baron Cohen
nm0205772,Ken Davitian
nm0132685,Luenell
nm3929074,Chester
nm0736622,Seth Rogen
nm0790688,Michael Sheen
nm0000432,Gene Hackman
nm1495520,Caitríona Balfe
nm2492819,Rosie Huntington-Whiteley
nm0001674,Chris Rock
nm0001710,David Schwimmer
nm0000586,Jada Pinkett Smith
nm0004755,Jason Biggs
nm0005098,Chris Klein
nm0005272,Thomas Ian Nicholas
nm0177639,Jennifer Coolidge
nm0001311,Philip Baker Hall
nm0047962,Chieko Baishô
nm0454120,Takuya Kimura
nm0309107,Tatsuya Gashûin
nm0594271,Akihiro Miwa
nm0519043,Justin Long
nm0648249,Timothy Olyphant
nm0702572,Maggie Q
nm0451148,Aamir Khan
nm0534856,Madhavan
nm1587175,Mona Singh
nm0430817,Sharman Joshi
nm9877392,Roman Griffin Davis
nm5057169,Thomasin McKenzie
nm0169806,Taika Waititi
nm1388927,Miranda Cosgrove
nm1670137,Georgie Henley
nm0608440,William Moseley
nm1342727,Skandar Keynes
nm0000679,Deborah Kara Unger
nm0714310,James Rebhorn
nm1036181,Mike Vogel
nm1140300,Jessica Lucas
nm0135221,Lizzy Caplan
nm0000473,Diane Keaton
nm0000412,Andy Garcia
nm0001735,Talia Shire
nm0001763,Nick Stahl
nm0518085,Kristanna Loken
nm0000132,Claire Danes
nm0001326,Josh Hartnett
nm0559444,Yôji Matsuda
nm0410942,Yuriko Ishida
nm0849100,Yûko Tanaka
nm0908094,Paul Walker
nm0425005,Dwayne Johnson
nm4855517,Simu Liu
nm5377144,Awkwafina
nm0504897,Tony Leung Chiu-wai
nm0004789,Amanda Bynes
nm0046112,Penn Badgley
nm0126004,Dan Byrd
nm0356017,Rebecca Hall
nm0108287,Jordana Brewster
nm0845209,Aitana Sánchez-Gijón
nm0788767,John Sharian
nm0002332,Stephen Lang
nm0517820,Lindsay Lohan
nm1057932,Jonathan Bennett
nm0275486,Tina Fey
nm0726200,Peter Riegert
nm0338886,Peter Greene
nm3078932,Lady Gaga
nm0000385,Sam Elliott
nm0342399,Greg Grunberg
nm0000654,Terence Stamp
nm6073955,Florence Pugh
nm1092086,David Harbour
nm2394794,Karen Gillan
nm0366389,Kevin Hart
nm0618057,Ulrich Mühe
nm0311476,Martina Gedeck
nm0462407,Sebastian Koch
nm0876300,Ulrich Tukur
nm0001099,Jeff Daniels
nm0000452,Lauren Holly
nm0823563,Mike Starr
nm0001295,Graham Greene
nm0005028,Kate Hudson
nm3069650,Jodie Comer
nm2577076,Lil Rel Howery
nm0644406,Nick Offerman
nm0005273,Alessandro Nivola
nm1822659,Nat Wolff
nm0001800,Rip Torn
nm0001223,Lara Flynn Boyle
nm0848554,Amber Tamblyn
nm2505304,Sean Bott
nm1102577,Elle Fanning
nm0544334,Lesley Manville
nm0000131,John Cusack
nm0001605,Amanda Peet
nm0190744,Marton Csokas
nm0000470,Jeffrey Jones
nm0004754,Jessica Biel
nm0001722,Rufus Sewell
nm0165101,Patricia Clarkson
nm0001184,Jenna Elfman
nm0000661,Donald Sutherland
nm0000454,Dennis Hopper
nm0608012,Joe Morton
nm0000173,Nicole Kidman
nm0001217,Fionnula Flanagan
nm0542635,Alakina Mann
nm0001337,Katherine Heigl
nm0005182,Leslie Mann
nm0000614,Alan Rickman
nm0001758,Timothy Spall
nm0001573,Catherine O'Hara
nm1078479,John Cena
nm1172478,Joel Kinnaman
nm1318596,Jemaine Clement
nm0191412,Rory Culkin
nm0068260,Jamie Bell
nm0593664,Radha Mitchell
nm0000545,Helen Mirren
nm0383422,John Michael Higgins
nm0000295,Kate Beckinsale
nm0000889,Bonnie Bedelia
nm0001817,Reginald VelJohnson
nm0002071,Will Ferrell
nm0006969,Elizabeth Banks
nm0004715,Will Arnett
nm0000207,Christina Ricci
nm0001669,Miranda Richardson
nm0947338,Anton Yelchin
nm1291227,Moon Bloodgood
nm0001642,Randy Quaid
nm0005009,Laura Harring
nm0060931,Jeanne Bates
nm0000609,Ving Rhames
nm1069800,Dominique McElligott
nm3675884,Rosie Shaw
nm0000775,Christina Applegate
nm0001191,Adam Sandler
nm0000106,Drew Barrymore
nm0001705,Rob Schneider
nm0000276,Sean Astin
nm1935086,Tessa Thompson
nm3575723,Lydia Wilson
nm4755508,Asher Angel
nm6244013,Jack Dylan Grazer
nm0000117,Neve Campbell
nm0001073,Courteney Cox
nm0000274,David Arquette
nm0000240,Skeet Ulrich
nm1229204,Nadine Velazquez
nm1428821,Joey King
nm3109964,Brian Tyree Henry
nm0004486,Bruno Ganz
nm0559890,Ulrich Matthes
nm0477810,Juliane Köhler
nm0645683,Sophie Okonedo
nm1796730,Xolani Mali
nm1890784,Michelle Dockery
nm0834989,Jeremy Strong
nm2403277,Alden Ehrenreich
nm3592338,Emilia Clarke
nm2255973,Donald Glover
nm0315041,Ricky Gervais
nm0001813,Dick Van Dyke
nm1404488,AJ Michalka
nm0151419,Kyle Chandler
nm1525807,Joel Courtney
nm0376540,Martin Henderson
nm0233562,David Dorfman
nm2110418,Gemma Chan
