movieID,actorID,role
tt2488496,nm1727304,General Hux
tt0198781,nm0000345,Mike
tt0198781,nm0000422,Sullivan
tt0198781,nm0316701,Boo
tt0198781,nm0000114,Randall
tt2582802,nm1886602,Andrew
tt2582802,nm0799777,Fletcher
tt2582802,nm2552034,Nicole
tt2582802,nm0001663,Jim Neimann
tt1201607,nm0705356,Harry Potter
tt1201607,nm0914612,Hermione Granger
tt1201607,nm0342488,Ron Weasley
tt1201607,nm0002091,Professor Albus Dumbledore
tt2395427,nm0000375,Tony Stark
tt2395427,nm0000375,Iron Man
tt2395427,nm0262635,Steve Rogers
tt2395427,nm0262635,Captain America
tt2395427,nm0749263,Bruce Banner
tt2395427,nm0749263,Hulk
tt2395427,nm1165110,Thor
tt1675434,nm0167388,Philippe
tt1675434,nm1082477,Driss
tt1675434,nm0494504,Yvonne
tt1675434,nm1109153,Magalie
tt3659388,nm0000354,Mark Watney
tt3659388,nm1567113,Melissa Lewis
tt3659388,nm1325419,Annie Montrose
tt3659388,nm0544718,Beth Johanssen
tt0208092,nm0005458,Turkish
tt0208092,nm0000093,Mickey O'Neil
tt0208092,nm0334318,Tommy
tt0208092,nm0005068,Bullet-Tooth Tony
tt1300854,nm0000375,Tony Stark
tt1300854,nm0001602,Aldrich Killian
tt1300854,nm0000569,Pepper Potts
tt1300854,nm0000332,Colonel James Rhodes
tt0800369,nm1165110,Thor
tt0800369,nm0000164,Odin
tt0800369,nm0000204,Jane Foster
tt0800369,nm1089991,Loki
tt1843866,nm0262635,Steve Rogers
tt1843866,nm0262635,Captain America
tt1843866,nm0000168,Nick Fury
tt1843866,nm0424060,Natasha Romanoff
tt1843866,nm0424060,Black Widow
tt1843866,nm0000602,Alexander Pierce
tt0458339,nm0262635,Captain America
tt0458339,nm0262635,Steve Rogers
tt0458339,nm0915989,Johann Schmidt
tt0458339,nm0915989,Red Skull
tt0458339,nm0000168,Nick Fury
tt0458339,nm2017943,Peggy Carter
tt0180093,nm0000995,Sara Goldfarb
tt0180093,nm0001467,Harry Goldfarb
tt0180093,nm0000124,Marion Silver
tt0180093,nm0005541,Tyrone C. Love
tt1010048,nm2353862,Older Jamal
tt1010048,nm2951768,Older Latika
tt1010048,nm0795661,Sergeant Srinivas
tt1010048,nm0438463,Prem
tt6751668,nm0814280,Ki Taek
tt6751668,nm1310525,Dong Ik
tt6751668,nm1856097,Yeon Kyo
tt6751668,nm6079248,Ki Woo
tt0253474,nm0004778,Wladyslaw Szpilman
tt0253474,nm0470981,Captain Wilm Hosenfeld
tt0253474,nm0277975,Father
tt0253474,nm0288976,Dorota
tt0435761,nm0000158,Woody
tt0435761,nm0000741,Buzz Lightyear
tt0435761,nm0000349,Jessie
tt0435761,nm0000885,Lotso
tt0903624,nm0293509,Bilbo
tt0903624,nm0005212,Gandalf
tt0903624,nm0035514,Thorin
tt0903624,nm0785227,Gollum
tt1454468,nm0000113,Ryan Stone
tt1454468,nm0000123,Matt Kowalski
tt1454468,nm0000438,Mission Control
tt1454468,nm1241511,Aningaaq
tt2278388,nm0000146,M. Gustave
tt2278388,nm0000719,Mr. Moustafa
tt2278388,nm0023832,Serge X.
tt2278388,nm0004778,Dmitri
tt0145487,nm0001497,Spider-Man
tt0145487,nm0001497,Peter Parker
tt0145487,nm0000379,Mary Jane Watson
tt0145487,nm0000353,Green Goblin
tt0145487,nm0000353,Norman Osborn
tt0145487,nm0290556,Harry Osborn
tt1228705,nm0000375,Tony Stark
tt1228705,nm0000620,Ivan Vanko
tt1228705,nm0000569,Pepper Potts
tt1228705,nm0000332,Lt. Col. James 'Rhodey' Rhodes
tt0416449,nm0124930,King Leonidas
tt0416449,nm0372176,Queen Gorgo
tt0416449,nm0920992,Dilios
tt0416449,nm0922035,Theron
tt1663202,nm0000138,Hugh Glass
tt1663202,nm0362766,John Fitzgerald
tt1663202,nm2401020,Bridger
tt1663202,nm1727304,Captain Andrew Henry
tt0118715,nm0000313,The Dude
tt0118715,nm0000422,Walter Sobchak
tt0118715,nm0000194,Maude Lebowski
tt0118715,nm0000114,Theodore Donald 'Donny' Kerabatsos
tt0120915,nm0000191,Obi-Wan Kenobi
tt0120915,nm0000553,Qui-Gon Jinn
tt0120915,nm0000204,Queen Amidala
tt0120915,nm0000204,Padmé
tt0120915,nm0005157,Anakin Skywalker
tt0246578,nm0350453,Donnie Darko
tt0246578,nm0540441,Gretchen Ross
tt0246578,nm0001521,Rose Darko
tt0246578,nm0651660,Eddie Darko
tt3498820,nm0262635,Steve Rogers
tt3498820,nm0262635,Captain America
tt3498820,nm0000375,Tony Stark
tt3498820,nm0000375,Iron Man
tt3498820,nm0424060,Natasha Romanoff
tt3498820,nm0424060,Black Widow
tt3498820,nm1659221,Bucky Barnes
tt3498820,nm1659221,Winter Soldier
tt0121766,nm0159789,Anakin Skywalker
tt0121766,nm0000204,Padmé
tt0121766,nm0000191,Obi-Wan Kenobi
tt0121766,nm0000168,Mace Windu
tt0241527,nm0705356,Harry Potter
tt0241527,nm0342488,Ron Weasley
tt0241527,nm0001321,Albus Dumbledore
tt0241527,nm0001749,Professor McGonagall
tt1119646,nm0302108,Alan
tt1119646,nm0177896,Phil
tt1119646,nm0058581,Doug
tt1119646,nm1159180,Stu
tt1825683,nm1569276,T'Challa
tt1825683,nm1569276,Black Panther
tt1825683,nm0430107,Erik Killmonger
tt1825683,nm2143282,Nakia
tt1825683,nm1775091,Okoye
tt10872600,nm4043618,Peter Parker
tt10872600,nm4043618,Spider-Man
tt10872600,nm3918035,MJ
tt10872600,nm1212722,Doctor Strange
tt10872600,nm8188622,Ned Leeds
tt0245429,nm0153738,Chihiro
tt0245429,nm0687189,Yubaba
tt0245429,nm0687189,Zeniba
tt0245429,nm0997115,Haku
tt0245429,nm0383708,Chihiro Ogino
tt0245429,nm0383708,Sen
tt1205489,nm0000142,Walt Kowalski
tt1205489,nm3057402,Thao
tt1205489,nm1542291,Father Janovich
tt1205489,nm3115704,Sue
tt2084970,nm1212722,Alan Turing
tt2084970,nm0461136,Joan Clarke
tt2084970,nm0328828,Hugh Alexander
tt2084970,nm1395602,John Cairncross
tt0947798,nm0000204,Nina Sayers
tt0947798,nm0000204,The Swan Queen
tt0947798,nm0005109,Lily
tt0947798,nm0005109,The Black Swan
tt0947798,nm0001993,Thomas Leroy
tt0947798,nm0001993,The Gentleman
tt0947798,nm0000213,Beth Macintyre
tt0947798,nm0000213,The Dying Swan
tt3315342,nm0413168,Logan
tt3315342,nm0413168,X-24
tt3315342,nm0001772,Charles
tt3315342,nm6748436,Laura
tt3315342,nm2933542,Pierce
tt0770828,nm0147147,Clark Kent
tt0770828,nm0147147,Kal-El
tt0770828,nm0010736,Lois Lane
tt0770828,nm0788335,General Zod
tt0770828,nm0000178,Martha Kent
tt0480249,nm0000226,Robert Neville
tt0480249,nm0103797,Anna
tt0480249,nm2253071,Ethan
tt0480249,nm0724757,Zoe Neville
tt7131622,nm0000138,Rick Dalton
tt7131622,nm0000093,Cliff Booth
tt7131622,nm3053338,Sharon Tate
tt7131622,nm0386472,Jay Sebring
tt0401792,nm0000620,Marv
tt0401792,nm0654110,Dwight
tt0401792,nm0000246,Hartigan
tt0401792,nm0004695,Nancy
tt3501632,nm1165110,Thor
tt3501632,nm1089991,Loki
tt3501632,nm0000949,Hela
tt3501632,nm0749263,Bruce Banner
tt3501632,nm0749263,Hulk
tt0378194,nm0000235,Beatrix Kiddo aka The Bride aka Black Mamba aka Mommy
tt0378194,nm0001016,Bill aka Snake Charmer
tt0378194,nm0000514,Budd aka Sidewinder
tt0378194,nm0000435,Elle Driver aka California Mountain Snake
tt0317248,nm1179105,Buscapé - Rocket
tt0317248,nm1129884,Zé Pequeno - Li'l Zé
tt0317248,nm0618690,Sandro Cenoura - Carrot
tt0317248,nm1249574,Bené - Benny
tt0211915,nm0851582,Amélie Poulain
tt0211915,nm0440913,Nino Quincampoix
tt0211915,nm0749363,Raphaël Poulain
tt0211915,nm0186677,Amandine Poulain
tt0382932,nm0004951,Gusteau
tt0382932,nm0738918,Linguini
tt0382932,nm0652663,Remy
tt0382932,nm0000453,Skinner
tt1211837,nm1212722,Dr. Stephen Strange
tt1211837,nm0252230,Mordo
tt1211837,nm1046097,Dr. Christine Palmer
tt1211837,nm0938950,Wong
tt0317705,nm0005266,Bob Parr
tt0317705,nm0005266,Mr. Incredible
tt0317705,nm0000168,Lucius Best
tt0317705,nm0000168,Frozone
tt0317705,nm0000456,Helen Parr
tt0317705,nm0000456,Elastigirl
tt0317705,nm0005134,Buddy Pine
tt0317705,nm0005134,Syndrome
tt0892769,nm0059431,Hiccup
tt0892769,nm0124930,Stoick
tt0892769,nm2395586,Fishlegs
tt0892769,nm0272401,Gobber
tt1392214,nm0413168,Keller Dover
tt1392214,nm0350453,Detective Loki
tt1392214,nm0205626,Nancy Birch
tt1392214,nm0502425,Holly Jones
tt2096673,nm0688132,Joy
tt2096673,nm0352778,Fear
tt2096673,nm0085400,Anger
tt2096673,nm1411676,Disgust
tt0383574,nm0000136,Jack Sparrow
tt0383574,nm0089217,Will Turner
tt0383574,nm0461136,Elizabeth Swann
tt0383574,nm0202603,Norrington
tt0121765,nm0159789,Anakin Skywalker
tt0121765,nm0000204,Padmé
tt0121765,nm0000191,Obi-Wan Kenobi
tt0121765,nm0000489,Count Dooku
tt0121765,nm0000489,Darth Tyranus
tt8946378,nm0185819,Benoit Blanc
tt8946378,nm0262635,Ransom Drysdale
tt8946378,nm1869101,Marta Cabrera
tt8946378,nm0000130,Linda Drysdale
tt1877832,nm0001772,Professor X
tt1877832,nm0005212,Magneto
tt1877832,nm0413168,Logan
tt1877832,nm0413168,Wolverine
tt1877832,nm0564215,Charles Xavier
tt1285016,nm0251986,Mark Zuckerberg
tt1285016,nm1940449,Eduardo Saverin
tt1285016,nm0005493,Sean Parker
tt1285016,nm1913734,Erica Albright
tt1045658,nm0177896,Pat
tt1045658,nm2225369,Tiffany
tt1045658,nm0000134,Pat Sr.
tt1045658,nm0915865,Dolores Solitano
tt2543164,nm0010736,Louise Banks
tt2543164,nm0719637,Ian Donnelly
tt2543164,nm0001845,Colonel Weber
tt2543164,nm0836121,Agent Halpern
tt3896198,nm0695435,Peter Quill
tt3896198,nm0695435,Star-Lord
tt3896198,nm0757855,Gamora
tt3896198,nm1176985,Drax
tt3896198,nm0004874,Baby Groot
tt2024544,nm0252230,Solomon Northup
tt2024544,nm0931324,Robert
tt2024544,nm1055413,Edwin Epps
tt2024544,nm0000093,Bass
tt2975590,nm0000255,Bruce Wayne
tt2975590,nm0000255,Batman
tt2975590,nm0147147,Clark Kent
tt2975590,nm0147147,Superman
tt2975590,nm0010736,Lois
tt2975590,nm0251986,Lex Luthor
tt0118799,nm0000905,Guido
tt0118799,nm0000971,Dora
tt0118799,nm0134493,Giosué
tt0118799,nm0243842,Zio
tt1074638,nm0185819,James Bond
tt1074638,nm0000849,Silva
tt1074638,nm0365140,Eve
tt1074638,nm0001132,M
tt1270798,nm0564215,Charles Xavier (30 Years)
tt1270798,nm1055413,Erik Lensherr
tt1270798,nm2225369,Raven
tt1270798,nm2225369,Mystique
tt1270798,nm0000102,Sebastian Shaw
tt1877830,nm1500155,Bruce Wayne
tt1877830,nm1500155,The Batman
tt1877830,nm2368789,Selina Kyle
tt1877830,nm0942482,Lt. James Gordon
tt1877830,nm0268199,Oz
tt1877830,nm0268199,The Penguin
tt0117951,nm0000191,Renton
tt0117951,nm0001971,Spud
tt0117951,nm0001538,Sick Boy
tt0117951,nm0571727,Tommy
tt0126029,nm0000196,Shrek
tt0126029,nm0000196,Blind Mouse
tt0126029,nm0000196,Opening Narration
tt0126029,nm0000552,Donkey
tt0126029,nm0000139,Princess Fiona
tt0126029,nm0001475,Lord Farquaad
tt0405159,nm0005476,Maggie Fitzgerald
tt0405159,nm0000142,Frankie Dunn
tt0405159,nm0000151,Eddie Scrap-Iron Dupris
tt0405159,nm0059431,Danger Barch
tt1981115,nm1165110,Thor
tt1981115,nm0000204,Jane Foster
tt1981115,nm1089991,Loki
tt1981115,nm0001745,Erik Selvig
tt1631867,nm0000129,Cage
tt1631867,nm1289434,Rita
tt1631867,nm0000200,Master Sergeant Farell
tt1631867,nm0322407,General Brigham
tt1386697,nm0000226,Deadshot
tt1386697,nm0001467,The Joker
tt1386697,nm3053338,Harley Quinn
tt1386697,nm0205626,Amanda Waller
tt2911666,nm0000206,John Wick
tt2911666,nm0638824,Viggo Tarasov
tt2911666,nm0654295,Iosef Tarasov
tt2911666,nm0000353,Marcus
tt1136608,nm1663205,Wikus Van De Merwe
tt1136608,nm3107870,Koobus Venter
tt1136608,nm2271261,Grey Bradnam - UKNR Chief Correspondent
tt1136608,nm2271261,Christopher Johnson
tt1136608,nm1410076,Sarah Livingstone - Sociologist
tt0478970,nm0748620,Scott Lang
tt0478970,nm0748620,Ant-Man
tt0478970,nm0000140,Dr. Hank Pym
tt0478970,nm1015684,Darren Cross
tt0478970,nm1015684,Yellowjacket
tt0478970,nm1431940,Hope Van Dyne
tt0116282,nm0000513,Jerry Lundegaard
tt0116282,nm0000531,Marge Gunderson
tt0116282,nm0000114,Carl Showalter
tt0116282,nm0001780,Gaear Grimsrud
tt1504320,nm0000147,King George VI
tt1504320,nm0001691,Lionel Logue
tt1504320,nm0000307,Queen Elizabeth
tt1504320,nm0001394,Archbishop Cosmo Lang
tt0816711,nm0000093,Gerry Lane
tt0816711,nm0257969,Karin Lane
tt0816711,nm2020146,Segen
tt0816711,nm0197647,Captain Speke
tt2802144,nm0000147,Harry Hart
tt2802144,nm0000147,Galahad
tt2802144,nm5473782,Gary 'Eggsy' Unwin
tt2802144,nm0000168,Valentine
tt2802144,nm0000323,Arthur
tt1951264,nm2225369,Katniss Everdeen
tt1951264,nm1242688,Peeta Mellark
tt1951264,nm2955013,Gale Hawthorne
tt1951264,nm0000450,Plutarch Heavensbee
tt5013056,nm7887725,Tommy
tt5013056,nm4422686,George
tt5013056,nm0753314,Mr. Dawson
tt5013056,nm0362766,Farrier
tt2250912,nm4043618,Peter Parker
tt2250912,nm4043618,Spider-Man
tt2250912,nm0000474,Adrian Toomes
tt2250912,nm0000474,Vulture
tt2250912,nm0000375,Tony Stark
tt2250912,nm0000375,Iron Man
tt2250912,nm0000673,May Parker
tt1160419,nm3154303,Paul Atreides
tt1160419,nm0272581,Lady Jessica Atreides
tt1160419,nm3918035,Chani
tt1160419,nm1209966,Duke Leto Atreides
tt0457430,nm1419440,Ofelia
tt0457430,nm0317725,Carmen
tt0457430,nm0530365,Vidal
tt0457430,nm0893941,Mercedes
tt1170358,nm0005212,Gandalf
tt1170358,nm0293509,Bilbo
tt1170358,nm0035514,Thorin
tt1170358,nm0832792,Balin
tt1670345,nm0251986,J. Daniel Atlas
tt1670345,nm0996669,Evans
tt1670345,nm0749263,Dylan Rhodes
tt1670345,nm0000437,Merritt McKinney
tt0113277,nm0000199,Lt. Vincent Hanna
tt0113277,nm0000134,Neil McCauley
tt0113277,nm0000174,Chris Shiherlis
tt0113277,nm0000685,Nate
tt0451279,nm2933757,Diana
tt0451279,nm1517976,Steve Trevor
tt0451279,nm0000705,Antiope
tt0451279,nm0205063,Etta
tt0316654,nm0001497,Spider-Man
tt0316654,nm0001497,Peter Parker
tt0316654,nm0000379,Mary Jane Watson
tt0316654,nm0000547,Doc Ock
tt0316654,nm0000547,Dr. Otto Octavius
tt0316654,nm0290556,Harry Osborn
tt0948470,nm1940449,Spider-Man
tt0948470,nm1940449,Peter Parker
tt0948470,nm1297015,Gwen Stacy
tt0948470,nm0406975,The Lizard
tt0948470,nm0406975,Dr. Curt Connors
tt0948470,nm0451234,Rajit Ratha
tt0381061,nm0185819,James Bond
tt0381061,nm1200692,Vesper Lynd
tt0381061,nm0001132,M
tt0381061,nm0942482,Felix Leiter
tt0421715,nm0000093,Benjamin Button
tt0421715,nm0000949,Daisy
tt0421715,nm0842770,Elizabeth Abbott
tt0421715,nm0000566,Caroline
tt0449088,nm0000136,Jack Sparrow
tt0449088,nm0089217,Will Turner
tt0449088,nm0461136,Elizabeth Swann
tt0449088,nm0001691,Captain Hector Barbossa
tt0780504,nm0331516,Driver
tt0780504,nm1659547,Irene
tt0780504,nm0186505,Shannon
tt0780504,nm0000983,Bernie Rose
tt3748528,nm0428065,Jyn Erso
tt3748528,nm0526019,Cassian Andor
tt3748528,nm0876138,K-2SO
tt3748528,nm0947447,Chirrut Îmwe
tt0144084,nm0000288,Patrick Bateman
tt0144084,nm0857620,Timothy Bryce
tt0144084,nm0524197,Craig McDermott
tt0144084,nm0756083,David Van Patten
tt0295297,nm0705356,Harry Potter
tt0295297,nm0342488,Ron Weasley
tt0295297,nm0914612,Hermione Granger
tt0295297,nm0001321,Albus Dumbledore
tt0369610,nm0695435,Owen Grady
tt0369610,nm0397171,Claire Dearing
tt0369610,nm1339223,Gray
tt0369610,nm0339460,Karen
tt0304141,nm0705356,Harry Potter
tt0304141,nm0914612,Hermione Granger
tt0304141,nm0342488,Ron Weasley
tt0304141,nm0341743,Uncle Vernon
tt0418279,nm0479471,Sam Witwicky
tt0418279,nm1083271,Mikaela Banes
tt0418279,nm0241049,Captain Lennox
tt0418279,nm0879085,USAF Tech Sergeant Epps
tt0107048,nm0000195,Phil
tt0107048,nm0000510,Rita
tt0107048,nm0254402,Larry
tt0107048,nm0864997,Ned
tt0988045,nm0000375,Sherlock Holmes
tt0988045,nm0000179,Dr. John Watson
tt0988045,nm1046097,Irene Adler
