userID,actorID
geraldross92,nm0487405
virginiaallen33,nm0535502
rosehayes52,nm0860688
kevingreen30,nm0088269
angelawalker56,nm4726706
julieflores40,nm0636426
carolynking59,nm3381295
christinadavis30,nm0811242
terryalexander61,nm0001038
martinbrown67,nm0939153
adammorgan24,nm0625724
joewilliams41,nm1579372
jonathanrobinson37,nm1846544
virginiacampbell95,nm4968500
garydavis23,nm4977564
rosesmith96,nm0001975
garyjenkins13,nm0776926
debraward09,nm0284649
johnnybennett77,nm1966332
dianehernandez04,nm7210549
debraperry14,nm9241204
patrickprice89,nm4582429
justinramirez09,nm0661164
laurahenderson24,nm0922342
danielparker62,nm6352268
annthompson44,nm0005227
juliahayes78,nm9910087
patriciacampbell21,nm1812637
evelyngreen85,nm0005435
aarondavis27,nm0517642
douglaspatterson90,nm0616420
scotthayes64,nm0706721
tinafoster47,nm0656188
gregorycollins97,nm0524197
ashleymiller90,nm1727781
bonnietorres16,nm9016782
janeadams44,nm0350273
bettyroberts17,nm0000855
kathryntaylor76,nm1290029
adambell97,nm0001003
rebeccahoward21,nm0262521
albertdiaz18,nm6280112
haroldstewart85,nm0000140
josephbrooks93,nm3113075
marykelly64,nm0663546
randyallen02,nm1157048
justinhall41,nm0001625
sharonhoward38,nm0344798
kellycooper60,nm1120797
alicehughes47,nm0000498
markwood09,nm5077687
toddwalker28,nm0917848
saraphillips46,nm0203728
carlosadams29,nm0150193
debrarobinson59,nm0860688
judycox38,nm0929609
judylong26,nm0000553
barbaramiller76,nm0117146
williemorgan04,nm0703800
benjamincampbell99,nm0000638
douglasallen22,nm0664238
michellejones95,nm2883828
joshuabennett19,nm1438258
johncollins00,nm11692742
carlosfoster76,nm12046864
wandawright17,nm1110573
brucehenderson97,nm0528462
rosecox09,nm0762153
shawnroberts68,nm0934179
douglaswright24,nm0229733
williamevans30,nm2395586
georgebailey23,nm0790057
frankward08,nm3180472
williewhite43,nm12248296
brandonmoore18,nm6699059
jeffreyhayes83,nm0543215
judithtorres55,nm0331906
christineperez92,nm1577941
howardfoster08,nm0686401
earlgriffin60,nm0960238
maryrichardson05,nm1064823
juanlong14,nm5852449
arthurramirez91,nm1330560
catherinepatterson18,nm9862859
antoniomorgan08,nm5728301
nancykelly79,nm0587401
ralphdavis12,nm1049968
saracoleman55,nm0413996
jonathantorres34,nm7433607
lauranelson40,nm0001661
marilynjenkins24,nm3517807
angelacook14,nm0208426
christineperez92,nm0317385
denisebryant55,nm1191900
joseparker57,nm0618690
michaellewis10,nm1116863
shirleyrichardson69,nm1065664
markstewart01,nm1036340
nicolewhite70,nm1302735
harrythompson01,nm0856908
rubycarter22,nm0952498
phillipscott02,nm0369954
walterhughes10,nm4725341
saramurphy06,nm0777788
helenanderson55,nm0820282
stevenevans06,nm1320897
danielbryant70,nm2605345
rachelbaker65,nm3733763
jeremybryant79,nm3117836
janicehernandez24,nm0645187
melissatorres36,nm0001075
charleslong35,nm0490513
heatherwilliams77,nm2913275
craigreed96,nm2540053
kathypowell77,nm4880714
emilyhughes41,nm0225419
wandacollins15,nm9973430
janelewis12,nm2965226
kathleenhall70,nm0467559
beverlyyoung74,nm0725338
elizabethjames99,nm0183750
margaretnelson67,nm0098378
howardrichardson22,nm2257218
nicolerodriguez85,nm0001043
royflores33,nm3728294
amyrussell78,nm0361957
joycecoleman97,nm0002091
arthurgonzalez82,nm0695177
joycelewis67,nm0001025
glorialopez08,nm0119518
nancymorris38,nm0040739
janetjohnson18,nm0693848
thomasgarcia68,nm0004989
judithcoleman24,nm3080119
jeanwilson40,nm0875495
virginiaross06,nm1306697
wayneking84,nm6112124
martinyoung73,nm0063800
waynebaker16,nm0000172
randydiaz02,nm0012778
geraldpeterson97,nm0463233
annieanderson76,nm0022883
joseflores49,nm0385296
annabarnes48,nm4347315
carolyncox66,nm8437705
kathyrobinson93,nm0474774
philipgray44,nm0256599
marywright04,nm0565366
amyhernandez60,nm0671721
stevehughes25,nm2913280
mariabennett85,nm0001427
philipcoleman61,nm1110435
jackcooper04,nm0500200
frankparker51,nm0000513
henryrodriguez72,nm0001354
carloscox18,nm0926697
douglascook77,nm0638208
judithgriffin71,nm5396422
victorhoward44,nm1336552
scottlee38,nm3843467
randyprice14,nm1182011
lorilee89,nm0616910
angelajackson25,nm6280112
elizabethbrooks57,nm0919798
howardhill19,nm10942337
richardsanchez28,nm4523758
helenmorris73,nm1323233
rogertorres17,nm2390814
loisdavis12,nm0086324
virginiaclark33,nm1141657
jeffreyturner88,nm3032715
cherylrodriguez29,nm6784756
loistaylor35,nm1547964
matthewhill82,nm1725322
ruthalexander92,nm2278177
deniseadams37,nm0001242
robinparker69,nm0000106
josephillips59,nm11523063
carlbaker00,nm1380882
gregorycollins97,nm3977251
peterprice93,nm2870590
emilybrooks50,nm10942337
dianabell68,nm0447695
gloriajames91,nm0004266
barbaraturner50,nm2622225
patriciathompson54,nm0133899
donnawhite14,nm0724757
georgelewis65,nm5695391
ernestlee87,nm0685877
louissanchez90,nm6556997
roykelly00,nm1199153
matthewlee74,nm2067091
nicholaswatson51,nm0004376
larrybarnes63,nm4151199
brandonyoung51,nm0071818
bobbyperry00,nm0034733
deniserodriguez57,nm1865097
alanedwards61,nm3270793
julieanderson34,nm3200920
emilyprice46,nm0401522
kathyking70,nm0101198
paulamurphy49,nm2940487
christinejohnson69,nm0248408
teresarodriguez78,nm2829200
kennethevans59,nm0001788
charlesstewart69,nm0001301
karenedwards30,nm3599764
janetharris10,nm2067218
janetmitchell32,nm4625680
nicolecooper85,nm0001349
catherinealexander92,nm3130311
philipkelly95,nm0000291
robertcook85,nm0000615
rebeccarodriguez17,nm0108455
anthonybrooks89,nm1059103
nicolemorris22,nm0001855
annewilson01,nm3759299
melissawhite23,nm3758734
aaronhall56,nm0000236
fredpatterson87,nm9987228
georgelee82,nm0776193
josephmorgan68,nm6273024
clarencekelly41,nm0001312
evelynwashington63,nm0908914
geraldhenderson22,nm4377526
michaeladams33,nm0000350
bonniecooper63,nm0347509
marthaalexander75,nm7036568
susanmorris24,nm0689894
alanmartin42,nm2416221
marthawatson72,nm0004920
bobbygonzales40,nm2921091
earlevans52,nm14324794
carolpowell16,nm1740366
billycooper51,nm0507835
carolyoung53,nm4736489
peterpatterson00,nm4223385
randygonzalez38,nm3720834
harryhall28,nm4711616
kathleenjones54,nm0771794
loispeterson82,nm2776169
ruthhughes79,nm0000430
brendabailey40,nm0795661
danieljenkins97,nm0334027
stevebell56,nm1282927
sarahjohnson59,nm0001652
lindasanchez22,nm4900454
louismartin73,nm0810488
jeremytaylor91,nm0350335
justindavis99,nm2570728
ruthgreen21,nm1386816
davidbrown68,nm0164929
craiglewis78,nm1349694
normajames20,nm3485889
stephaniebell80,nm2115236
ashleynelson51,nm0581910
irenewalker41,nm0322306
aaronsanchez14,nm2976492
brucegriffin76,nm9952282
juanmiller19,nm4296013
seanrodriguez50,nm0712404
debrafoster13,nm0556036
douglasadams09,nm1775091
bettyturner74,nm4584004
haroldwhite40,nm10509266
jamesprice29,nm0738433
patrickyoung93,nm7440406
christopherwalker08,nm0758825
teresalopez48,nm4270695
sharonwatson14,nm1303233
theresaperry00,nm2832695
joshuapatterson10,nm3958585
jasontaylor25,nm0087249
markhill23,nm11324875
larrybryant81,nm9106801
earlbarnes35,nm1330276
henrygreen32,nm6914293
marthaking91,nm0000639
billytaylor85,nm2514879
dianegonzales37,nm2933757
antonioreed95,nm7371227
marybutler14,nm8390021
johnward59,nm0022161
rebeccaclark05,nm0001326
katherinemorgan15,nm2980031
johnnyramirez93,nm1307435
henrysmith74,nm0484541
ashleyperry72,nm0799402
helenphillips35,nm9556770
juanstewart25,nm0466636
judithmitchell25,nm0205772
raymondcarter05,nm0000767
earlgonzales35,nm0692677
phillipcook65,nm0011038
sarawhite00,nm5189784
carolynbryant29,nm0273592
dorothyturner40,nm2278522
dianeparker87,nm1028496
earlmurphy68,nm0922335
williecox75,nm2682929
ernestrichardson48,nm0457796
haroldflores16,nm0166221
teresakelly49,nm3889842
walterramirez83,nm0746149
christopherthompson44,nm6442009
marilynnelson16,nm0230859
amandasimmons14,nm2113179
sarahnelson86,nm0220976
brandonanderson71,nm1000672
rubymitchell59,nm0120270
jimmyreed62,nm0842737
samueljones55,nm2546012
gloriamartin14,nm1113349
anniepeterson48,nm0150362
roywashington26,nm3007005
rogerhill23,nm0000102
wayneturner07,nm0345573
marthamartin51,nm0011478
dorisramirez39,nm5695391
bonniehayes31,nm1342905
jasonphillips11,nm4599748
jerrydavis78,nm0111846
craigramirez24,nm0910278
gregorylee28,nm5917366
waynerichardson54,nm1247401
antoniogreen73,nm1336069
janetbailey34,nm3276835
howardgreen50,nm5541157
anniegonzales49,nm2597963
rachelbrooks74,nm0288976
sandrawood37,nm0000366
heathermoore42,nm1699333
kathleenjenkins58,nm2786608
timothybarnes00,nm2506621
robinrobinson60,nm0005132
kathrynclark39,nm0706954
larrygreen32,nm3081796
henryrussell38,nm3557613
michellemiller67,nm0001201
barbararoberts47,nm0595869
marthawatson72,nm12366937
michaelhernandez65,nm5445656
alicekelly52,nm2858341
cherylward04,nm2731600
catherinepowell92,nm0622407
janesanchez07,nm14190201
michaeldavis67,nm0001856
andreawood54,nm1693112
roynelson75,nm2070427
thomasallen09,nm0000245
matthewrivera01,nm0809031
patriciajames08,nm7582805
amandatorres06,nm0715915
stephenanderson64,nm3046705
stephaniebryant45,nm0222922
robertturner80,nm0340973
christinaross73,nm1563346
brandondavis13,nm1179512
helengonzales22,nm0692391
gregoryprice90,nm0646943
annieyoung44,nm0612534
saraalexander15,nm3597280
susanjenkins74,nm1002641
edwardcooper50,nm0793402
tinaallen03,nm4817510
brianrodriguez49,nm0609040
peterroberts76,nm0661825
brendabutler89,nm11066388
peterlewis63,nm0297954
rubyperry51,nm0679150
virginiagarcia62,nm9705028
josegonzalez52,nm2623902
aaronstewart27,nm3526370
carloslong42,nm3675884
henryedwards22,nm3876431
amandaanderson25,nm1260157
harrypowell05,nm4626627
donaldwashington02,nm0453761
pamelaperez21,nm0001367
brendafoster53,nm4100042
marilynpeterson42,nm0923210
paulwright61,nm0773327
christinecoleman00,nm6142895
brucewhite48,nm2780552
bonniewashington45,nm1693112
chrisphillips19,nm0763650
thomasdavis25,nm1302444
phillipprice53,nm0211653
arthurmoore68,nm0643350
timothyperez64,nm2355036
mariebennett64,nm0023839
ireneevans74,nm0007228
ralphmiller05,nm0001731
carlosjames58,nm0443004
roseedwards43,nm2087841
waynelong23,nm0101710
edwardgriffin78,nm1382417
kimberlypatterson18,nm0511270
mildredrussell83,nm5939164
shirleyphillips58,nm0243355
denisemoore31,nm0000401
josephgonzales90,nm0357986
eugenetaylor80,nm0005119
ryanhernandez65,nm2020109
pamelaphillips12,nm0059654
gregorygonzales22,nm0589007
williamturner71,nm6983144
aaronsanchez14,nm0169806
helenreed04,nm0320801
anniediaz12,nm1466859
michaeladams33,nm0665554
martintaylor78,nm5514372
amyfoster36,nm0488095
joycehill00,nm1970058
keithharris58,nm1056790
angelahayes61,nm11966522
theresawhite26,nm1867717
melissalee33,nm0246969
thomascook82,nm0001290
rebeccamorris57,nm12070255
seanpowell81,nm3180297
brianbell28,nm0085312
arthurwood79,nm0859921
jacquelinecox58,nm0018515
toddross12,nm1429317
nancycarter17,nm0039402
joepeterson48,nm1517976
barbararobinson86,nm2517689
anthonypeterson65,nm1141101
arthurwalker58,nm0136001
ashleyjohnson15,nm1979275
kevinkelly28,nm3462742
richardrivera92,nm3198709
billylee40,nm0804055
carolyndiaz88,nm0108287
nancymartinez76,nm2985167
catherineedwards57,nm0876958
howardwhite74,nm0789585
margaretanderson48,nm0000573
annacarter75,nm3140538
earlrogers25,nm8308968
rubybell46,nm0000608
susanhall97,nm4137541
russelljames45,nm2940487
waltermoore55,nm0852132
raymondbell02,nm0271165
wandajohnson20,nm0001849
earlmartinez36,nm2184859
carlsimmons71,nm0878090
henryjackson08,nm0016297
johnnyanderson42,nm9654611
kimberlybennett34,nm0004827
matthewrussell35,nm0919867
gregorysanchez75,nm1365578
judithcollins95,nm1713632
joseevans44,nm1404049
lindabaker44,nm2020109
roseparker87,nm0159745
adambaker97,nm2525754
phillipsanders25,nm0799777
marylee99,nm8141375
donnaroberts03,nm0096772
jackrodriguez05,nm0001706
shirleyrodriguez30,nm0001394
anthonyyoung51,nm0692216
rubybryant11,nm4148205
clarenceturner44,nm1616807
ralphross77,nm0541576
peterwilson37,nm2175732
charlesmiller31,nm0539981
gloriarodriguez05,nm0264554
kennethhill67,nm0840721
donaldbryant72,nm2850826
harryhall28,nm0000627
richardkelly16,nm2617760
annwashington64,nm0676758
brianmitchell41,nm0071239
carloshoward41,nm0001471
joseallen02,nm0461658
annieparker63,nm0713378
alicehoward80,nm1512166
earlallen26,nm0000481
nancygriffin32,nm0088127
brucemitchell55,nm0595869
catherinetaylor96,nm3433566
lisabennett67,nm0842475
stevenmiller11,nm0501854
margarethughes26,nm0005524
marilyntaylor12,nm0206257
andrewrichardson27,nm4954157
annieramirez20,nm1913125
sharonhayes97,nm0766056
alanjackson78,nm0735226
roseanderson29,nm4010671
peterlewis63,nm3008739
cynthiacox69,nm1426607
virginianelson70,nm0873693
joestewart58,nm4599748
janegray05,nm0014118
paulmartin06,nm8871347
paulapatterson52,nm0258195
jonathanrichardson37,nm2002649
dianalopez41,nm1036181
gloriaanderson18,nm0437646
shirleyhenderson90,nm7165607
kellyward05,nm0479334
billynelson04,nm1421628
victorbell00,nm0001505
annkelly47,nm3283923
jacquelinegonzalez67,nm0141613
kathryndiaz34,nm2636433
carlrichardson38,nm2486428
gregorylopez59,nm3332894
mariahill29,nm0000659
janescott47,nm2177933
elizabethparker98,nm4244567
kathleenward80,nm1392135
jenniferthompson29,nm4141252
rubyyoung54,nm0458951
clarencecook88,nm3340597
elizabethhughes25,nm3370835
christinatorres93,nm0666398
normahernandez98,nm9296746
johnsanchez01,nm1324959
lilliankelly36,nm0000619
markphillips27,nm0358774
irenelewis31,nm0765911
jerryclark14,nm0829672
evelynthompson99,nm0230859
joshuamitchell05,nm3966456
josephhughes23,nm3612526
brucealexander37,nm1921376
dianataylor26,nm0744776
annajenkins74,nm0559169
robertturner80,nm2452551
gregoryramirez04,nm2981266
rosewilson72,nm0852328
francescampbell88,nm0803649
dianamartinez17,nm4943457
juliacox00,nm0131966
rachelrussell27,nm0001132
anthonykelly17,nm0000071
gregorysimmons34,nm2139257
michaelbell30,nm0001709
alicemartinez79,nm1269273
joycemartinez42,nm2578007
keithward59,nm0001167
jamesgreen59,nm9348659
randyanderson75,nm0001440
francesgonzalez52,nm0081801
laurarivera19,nm0716452
annaallen87,nm0377269
jenniferalexander82,nm12663938
amandabryant90,nm2818965
shawnthomas17,nm0052754
jonathanmitchell37,nm2155525
pamelajohnson53,nm0149837
robinphillips48,nm5567710
bruceadams56,nm0215916
stevenbrooks62,nm3217747
howardhernandez21,nm0869590
janicemorris32,nm0293695
christopherflores47,nm0915637
nancyhughes25,nm5589612
bettygarcia39,nm3229685
jeanhernandez01,nm11596206
jessicabailey42,nm3262317
markbarnes89,nm1665537
patriciaedwards43,nm0040591
kevinbrooks69,nm0004936
eugenescott30,nm0871827
terrywilson77,nm0443855
sharonroberts22,nm0714919
jonathanbennett12,nm1167656
brendastewart42,nm4276775
paulasanchez41,nm9516213
rebeccahenderson88,nm7487576
rubyclark45,nm0553150
carolynjackson27,nm9304766
waynebennett52,nm0411692
willietaylor33,nm0628170
jacquelinephillips79,nm0665082
joshuaalexander76,nm0525921
albertgonzalez41,nm0148418
charlesrobinson09,nm0743418
lillianthomas86,nm0169982
pamelabarnes52,nm0244999
johnnysanchez11,nm0656676
ronaldclark39,nm0005300
jackgonzales20,nm0001807
philipcoleman61,nm2306501
lauraalexander71,nm1283879
earllee78,nm0507644
mariefoster00,nm2911881
teresaedwards79,nm6648061
annewood73,nm5097044
harrysanders41,nm0497570
patriciacarter61,nm5800951
helenwood52,nm2074459
jonathanfoster47,nm0313534
cherylevans85,nm5557379
theresasimmons42,nm0008533
geraldparker19,nm0214134
terrymorris70,nm4492084
rogermartin90,nm0848110
janejones86,nm3620280
keithtaylor45,nm0302108
louiserobinson54,nm5898627
kathleenbrooks57,nm3195061
aarontorres15,nm3351812
royhayes96,nm1309554
billygriffin92,nm0131235
juanphillips94,nm0370411
ralphcoleman58,nm0359398
helenlee25,nm8932809
beverlywilson21,nm2704055
ernestgonzales68,nm0301556
rogerperry58,nm0721280
stephenprice53,nm0699654
randysanders68,nm0302330
shirleylee52,nm0573618
anniepeterson48,nm0001200
jessicagarcia95,nm0084107
jessecoleman02,nm0001024
andreacoleman00,nm0859503
dianabennett65,nm0588553
matthewclark33,nm7140802
janesmith15,nm0385682
michaelbryant15,nm3115934
alicemartinez79,nm2196217
georgerussell42,nm11477574
ruthdavis21,nm3521049
ernestharris76,nm8940318
waltermitchell37,nm0001381
alicejohnson61,nm0001831
debrastewart85,nm0959889
louiseramirez31,nm1143239
amywilliams84,nm5155952
brandonking88,nm10202855
marilynhughes99,nm0622913
barbaradavis05,nm0371824
geraldpowell47,nm4440340
amymitchell41,nm0656768
kathleenwashington16,nm5211581
edwardtorres70,nm6669213
ruthbaker93,nm0560103
amyadams84,nm2444005
marthajackson15,nm0768027
rebeccaparker83,nm0625099
loiscoleman57,nm2200639
billygonzalez64,nm1552693
walterlong49,nm4360085
denniscoleman57,nm1189489
tinayoung57,nm0649746
debrawatson40,nm0318498
wandagreen10,nm1002055
christinamorgan39,nm1094929
dianeward89,nm0466636
samueledwards11,nm0735226
jesseadams33,nm0612675
virginiarogers26,nm3057022
rebeccarodriguez17,nm1162012
ernestmorgan78,nm2503064
ralphbryant75,nm4590703
ronaldlewis86,nm4881741
justinbennett69,nm0286719
mariehughes83,nm0107232
dianejackson63,nm0663366
philipjohnson31,nm1621861
brendabell05,nm0421716
antoniocarter22,nm1906042
francesrogers18,nm0797614
deniseturner43,nm0287168
juliastewart60,nm2207567
markcollins96,nm0895759
joandiaz44,nm5370274
matthewcarter17,nm3507289
teresacampbell68,nm1227027
virginiabell53,nm0329640
georgeanderson74,nm2772584
patrickrobinson15,nm1036691
eugenehernandez09,nm0474609
kimberlygarcia68,nm0237065
dorisjackson40,nm2933757
robinstewart77,nm2246282
douglaslong60,nm0410942
kennethdiaz59,nm0702985
larrybrown31,nm0342399
lawrencegonzalez67,nm1336069
patrickcarter43,nm7935410
cherylward04,nm2371046
normarogers71,nm0306201
henryparker57,nm0733812
jerryflores26,nm0050268
fredbrown37,nm1631380
denniswilson52,nm3109964
joeroberts30,nm0484189
jonathanhall86,nm0042212
angelarichardson68,nm8801016
earlcox87,nm2439994
maryhayes23,nm3725393
maryyoung72,nm3711178
theresarobinson82,nm1794849
davidnelson80,nm0837523
ryanlopez20,nm7371227
randybarnes78,nm9348659
melissawood15,nm0558548
martinwright61,nm3289096
terrygarcia06,nm0315041
juliapatterson16,nm0363669
georgelong13,nm0948679
shirleybailey19,nm4703125
virginiawright71,nm1758612
ruthjenkins16,nm0717212
billylong67,nm7270373
rebeccasmith16,nm0522205
randysanders68,nm4273797
nancyramirez34,nm2274210
paulrogers46,nm0153719
josephramirez76,nm1339267
dorisclark37,nm1671147
marilynsanders34,nm1776976
jimmyjackson94,nm0592993
keithbrown05,nm0358316
margaretwood18,nm0023832
jerrycarter24,nm1596350
brendawalker59,nm0252006
lindafoster48,nm0010963
mildredbutler17,nm0149837
phillippatterson05,nm1895420
amywood72,nm3649155
alicefoster81,nm0001385
eugenethomas52,nm0005279
albertbutler09,nm0365264
williamcook74,nm0519456
cynthiascott97,nm0855398
melissahenderson76,nm0636942
ruthstewart58,nm2046691
anthonyroberts42,nm5689660
harryadams96,nm0700875
josewashington72,nm0453623
randyhayes34,nm8077090
jeanrivera29,nm0224441
anthonywashington52,nm0583856
virginiapowell32,nm0477127
barbaraprice93,nm0399427
catherinemitchell30,nm1328152
alicebennett05,nm0185819
brandonbryant44,nm0609845
wandajackson17,nm2972478
paulabryant09,nm2384265
annebarnes25,nm7934649
walterhenderson81,nm1316819
stevehall45,nm2984698
louissanders56,nm3725110
jenniferalexander82,nm4053792
sharonpatterson90,nm1191481
anniebrooks56,nm1555699
ruthlopez73,nm1591757
rachelsanchez48,nm0005299
carllong62,nm3099754
joshuatorres25,nm0307498
benjaminrussell90,nm0027174
beverlyward47,nm0000346
edwardramirez95,nm6295217
christinascott84,nm3083388
douglasrodriguez88,nm0488953
raymondroberts38,nm0353527
deborahrivera88,nm1822659
christopheralexander52,nm3163756
georgehenderson81,nm0608378
phyllissanchez22,nm0925220
maryscott08,nm1070494
catherinecollins13,nm0189524
rachelparker82,nm0523737
christineross01,nm0911320
annehernandez70,nm1378816
davidroberts74,nm4621232
markjones92,nm0687109
nicholaswilson90,nm0082507
donnataylor43,nm8065790
joshuarobinson62,nm8391281
jessicawilliams34,nm0031844
chrislopez74,nm0496778
kathyreed54,nm0000237
tinanelson88,nm2428838
lillianhayes52,nm3972775
ralphjames40,nm1122636
scottlewis41,nm0915637
scottward22,nm7230577
marilyndavis50,nm0404656
earlperez91,nm0784876
charleswood31,nm0028319
brendajohnson82,nm1161069
johnlee33,nm3327731
juliejames52,nm0254760
keithcoleman78,nm4373872
earldavis08,nm2488429
kathyclark71,nm10810831
wandabailey80,nm1090326
robinwashington16,nm0046277
louisecook85,nm4656381
jimmyhoward83,nm0898965
charleswright74,nm0050975
anneprice39,nm0897845
joyceclark40,nm0193579
jeancook79,nm1524317
jenniferthompson29,nm1048128
debraadams17,nm7936195
loisrogers61,nm2037015
judithpatterson43,nm0086322
martinnelson36,nm2663082
rosetorres87,nm1663252
joangriffin37,nm0002056
dorisbutler68,nm0153733
alicegonzales15,nm0205657
raymondbaker11,nm2874967
judithstewart40,nm0305081
earlturner65,nm4712111
justinperry22,nm0918334
earllong17,nm0042524
lawrencelewis28,nm0239575
stephanietaylor70,nm0438496
adamsmith06,nm0027303
martinking54,nm3083982
jeangreen54,nm0235242
dorothywilson16,nm0000502
kellyperry18,nm0602836
aliceflores12,nm0000684
bonniebryant32,nm0594956
theresacollins40,nm1579556
williampowell40,nm5189611
waynesanchez08,nm2331000
loisrussell58,nm4407117
joshuabutler18,nm8665963
michelleroberts38,nm2552034
judywilliams79,nm1663252
judithharris77,nm4454223
franceshenderson91,nm2271261
williammartin18,nm0837523
kathygonzales01,nm0990640
walterbell85,nm0001683
amandalopez85,nm0000232
christinecooper88,nm0041775
timothymitchell31,nm0005049
judyjohnson58,nm0000721
garycooper27,nm0001406
christinacox91,nm0454128
beverlyhughes04,nm0972531
kathymorgan36,nm1277177
louiselee71,nm0000913
christinarichardson71,nm0909665
lawrencehughes35,nm1655289
scottrichardson57,nm6771561
anniecarter86,nm6366586
billyrichardson86,nm1257208
carolynlewis86,nm1882152
emilywalker00,nm0474520
lawrenceramirez04,nm2099738
jennifernelson06,nm0550624
anniecampbell85,nm1750371
michelleevans03,nm0047887
benjaminhill77,nm7659189
amywalker23,nm0667350
teresarussell76,nm0361407
jessicamartin99,nm0217393
marthaharris14,nm2484864
henryadams97,nm1340101
francesprice04,nm2633535
tammybrooks33,nm9305936
scottramirez24,nm3116983
cynthiaross61,nm5295511
patrickjackson86,nm3730253
jessehayes78,nm1320601
jesseperez01,nm10321662
johnnyflores35,nm3817466
