userID,movieID,lastWatched,likes
samuelsimmons23,tt14859416,2017-10-20,0
paulmitchell93,tt8132700,2017-01-17,0
andrewhernandez85,tt7464188,2018-01-26,1
steventhomas12,tt0438859,2011-01-28,1
markbaker84,tt1937390,2010-12-10,0
danielpowell22,tt9257484,2002-08-25,0
earlallen26,tt0393685,2016-06-14,0
lorihayes75,tt0102744,2010-05-15,0
juliebell05,tt1291580,2005-04-20,1
annecampbell01,tt2495118,2006-05-06,0
loisalexander42,tt0364725,2006-07-28,1
mariehoward71,tt2402105,2015-03-11,1
georgeevans55,tt8633478,2019-07-27,1
irenehayes69,tt2692904,2004-06-21,1
josedavis09,tt1661275,2007-01-19,0
jackhoward10,tt2011311,2000-02-13,0
waltersmith04,tt2099556,2015-07-13,0
victorflores34,tt1100089,2015-02-08,1
marycook17,tt0279064,2007-02-16,1
kevingreen30,tt1675192,2022-06-29,0
lindagriffin16,tt2395427,2014-11-12,0
bonniedavis11,tt1232829,2020-10-27,0
andrewlong85,tt0190865,2013-04-21,0
beverlyrussell24,tt0230011,2016-07-10,1
louisross83,tt0103850,2007-03-21,0
kathleenlopez47,tt2103267,2013-02-12,0
stevenbutler16,tt0106292,2007-01-31,0
lillianthompson51,tt5797184,2000-11-01,0
williammartinez34,tt0377092,2020-05-26,0
nicholasanderson38,tt0274117,2008-08-10,1
amandataylor81,tt2870612,2013-12-13,1
loriflores28,tt1183276,2010-07-27,1
rogercox76,tt1646973,2004-06-14,1
judytaylor68,tt1268204,2004-01-16,1
mariecoleman10,tt0286106,2012-03-29,1
arthurtaylor73,tt0134618,2017-03-10,1
markadams88,tt0107692,2021-08-23,0
nancyhughes25,tt1029120,2015-05-05,1
emilyedwards09,tt0815244,2016-08-16,0
shawnsanders57,tt0257106,2011-06-02,0
clarenceanderson07,tt0142237,2013-12-07,0
marilynross93,tt0111418,2009-06-19,1
irenebrown62,tt4503598,2018-03-10,1
joshuafoster91,tt6673612,2015-11-19,0
lorihenderson05,tt2425486,2017-04-12,0
loismorris03,tt1179025,2019-10-26,0
roycoleman00,tt0102614,2011-06-04,0
eugeneanderson26,tt0102175,2019-12-30,0
jessetorres16,tt1640459,2010-04-11,0
jeancampbell24,tt10366460,2017-07-15,1
juliacox00,tt0858486,2002-07-01,1
arthurwatson53,tt0192194,2008-05-14,1
stevenjones62,tt0250494,2009-06-20,0
kevinbutler00,tt0485851,2009-02-27,0
kathyperez40,tt1183251,2004-09-10,1
garybrooks05,tt0330793,2020-07-13,0
robertedwards06,tt2832470,2001-06-16,0
rogerbell67,tt0108211,2021-11-09,0
margarethughes26,tt0901487,2001-02-08,1
randysanders68,tt0322589,2008-03-26,1
dennisrodriguez18,tt0111667,2007-12-03,0
brucebell45,tt0381348,2014-12-10,1
samuelmiller59,tt0103112,2021-06-06,0
randycox20,tt0318374,2013-05-18,1
carlsmith23,tt2053425,2008-10-26,1
williamwood57,tt0240890,2005-06-03,0
theresapowell76,tt5912454,2020-05-19,1
alicesmith62,tt1365050,2006-11-07,1
robertwatson12,tt6048930,2012-10-29,0
andrewjones55,tt0355702,2014-09-04,1
edwardbrown11,tt9426210,2006-12-14,1
rosebaker83,tt2101570,2007-09-01,0
heatherhall11,tt10886166,2009-06-20,0
chrisstewart24,tt7074886,2006-09-09,1
willielee27,tt2309961,2020-02-10,1
helensimmons35,tt4733640,2016-11-30,1
louishoward28,tt0399102,2009-06-18,0
annapatterson07,tt13510660,2021-04-11,1
lorimorris24,tt0367478,2023-03-14,1
sandrajames32,tt7698468,2007-03-13,0
kevinrichardson87,tt0252299,2009-06-15,0
seanhayes66,tt0104652,2007-08-31,0
dianehill36,tt0401729,2003-08-04,0
annethompson23,tt0109440,2006-03-22,0
janiceparker51,tt1171701,2003-04-24,1
stevenrichardson74,tt10515526,2018-01-08,1
markharris42,tt2185022,2005-05-02,1
kathleenmoore67,tt7466810,2020-10-05,0
phylliswhite67,tt0118698,2006-10-22,1
louiscarter84,tt6169694,2006-04-09,0
heatherross36,tt0800069,2020-04-25,0
garywright94,tt1692486,2001-02-26,0
marthaalexander75,tt0138703,2022-04-02,1
sarahbrown68,tt0120828,2018-07-31,1
earlbennett41,tt1179258,2020-06-30,1
kathrynreed21,tt0437954,2021-06-15,0
judithwalker12,tt0240890,2013-07-14,1
theresahernandez47,tt3973410,2006-12-25,1
jacquelinealexander10,tt0211933,2021-09-02,1
michaelreed04,tt5882970,2020-04-07,0
douglasmartinez49,tt1977895,2010-12-24,1
robertperez83,tt0274117,2000-04-27,1
bonnieyoung81,tt5895028,2006-12-19,1
donaldbryant72,tt2674426,2019-09-17,1
philipcollins48,tt7550000,2004-01-14,0
jacquelinehenderson99,tt0808276,2011-05-18,1
kathrynlee66,tt0155388,2016-10-04,1
craigmorris08,tt0112819,2013-09-20,0
jonathanhenderson88,tt0436364,2009-02-23,0
lillianbrown32,tt3626476,2000-08-03,1
lillianlong12,tt1673434,2017-09-09,1
raymondross59,tt3813310,2014-09-03,0
robertrodriguez38,tt0120906,2002-12-03,1
benjaminadams00,tt7282468,2004-03-04,0
antonioscott37,tt3458254,2021-09-15,0
toddharris40,tt0372334,2020-01-30,0
lawrencecook16,tt0120703,2019-05-30,1
anthonywatson39,tt0113820,2005-10-03,0
christinesanchez76,tt0441909,2020-11-09,1
heathermitchell90,tt0450345,2002-08-14,1
charlesrodriguez44,tt2034031,2006-04-19,0
elizabethhernandez61,tt3836512,2020-08-29,1
debrajenkins56,tt0101640,2019-02-23,0
dorothyevans99,tt0119079,2001-06-24,1
dennislewis41,tt0428870,2020-02-01,0
ronaldscott43,tt0396652,2021-09-13,1
markjackson29,tt0119695,2001-02-12,1
larryparker81,tt0762110,2018-08-27,0
dianacollins37,tt0230030,2010-08-01,1
lisamurphy76,tt1031969,2012-04-13,1
donnabennett48,tt0800080,2005-09-25,0
davidsanchez63,tt0374569,2010-04-23,0
harrycook18,tt5607714,2011-08-03,1
marywhite70,tt3829266,2020-04-26,0
loissmith84,tt1724970,2021-01-05,1
kennethscott75,tt0380599,2019-09-19,0
adamalexander34,tt0891527,2007-05-28,1
rachelrussell27,tt0899128,2011-04-15,1
teresasanders42,tt2758880,2016-09-04,1
annturner81,tt0791304,2008-02-12,0
clarencejohnson06,tt0112740,2012-02-16,1
patriciajones18,tt1029120,2011-10-30,0
jenniferthompson29,tt0479143,2021-11-21,1
clarencerogers74,tt0830861,2017-06-14,1
phyllisgreen11,tt2625030,2014-09-11,1
deborahcook55,tt6450804,2003-09-15,0
gloriajenkins41,tt0106292,2012-07-15,0
kellymorris88,tt15327088,2021-01-25,1
paulacarter33,tt1172570,2015-04-14,1
paulbutler89,tt1341167,2019-11-01,0
robertwashington80,tt0469263,2016-11-28,0
johnnyhenderson35,tt10843306,2012-02-10,1
anthonyward03,tt2359024,2000-06-19,1
garyjenkins13,tt2190367,2017-03-09,1
stephaniemorris04,tt0455782,2018-11-01,0
juanrichardson44,tt0165773,2022-08-22,0
juliascott24,tt4158876,2022-01-17,1
patriciaclark13,tt0119038,2004-01-09,1
anneperez99,tt0118789,2021-07-01,0
mildredrodriguez61,tt7605074,2006-03-01,1
ashleymiller90,tt1321860,2019-05-11,0
deborahcoleman12,tt5990474,2010-09-02,0
loricampbell43,tt0445946,2001-11-06,1
donnajackson88,tt11742798,2010-11-05,1
jennifermoore82,tt1596345,2005-03-24,1
beverlygonzales85,tt0103776,2019-03-07,1
michaelhill61,tt2652092,2008-03-29,1
antoniokelly08,tt0119668,2012-03-30,1
adamwalker16,tt2828996,2000-07-13,0
carolynhayes83,tt2674426,2014-04-03,0
deborahgriffin96,tt4621872,2011-06-03,1
dennisdiaz70,tt2395427,2013-09-05,1
dennisperez48,tt5884052,2000-12-17,1
georgegriffin12,tt0111419,2016-09-30,1
christopherjames50,tt12889404,2020-08-08,0
clarencegreen36,tt1600196,2015-02-20,1
heatherwood82,tt1742336,2006-03-12,0
brendarussell63,tt3263614,2023-03-12,1
cynthiasmith16,tt0450278,2000-08-08,1
nicholasrussell43,tt0124718,2004-11-30,0
brendamorgan56,tt1183923,2010-12-14,0
judyreed12,tt1368116,2013-08-03,0
helennelson02,tt0455760,2001-12-19,0
robertgray04,tt0120689,2017-02-24,1
davidroberts74,tt0403703,2022-03-14,0
patriciahill36,tt3444312,2009-12-22,1
larrybrooks78,tt7805960,2019-07-20,1
dennisgreen97,tt8664988,2018-01-21,0
saracampbell20,tt1762399,2003-01-21,0
debraking22,tt1564349,2011-06-25,1
nicholascarter95,tt0120669,2015-08-11,0
brendalopez34,tt11394298,2016-07-12,1
timothydiaz99,tt14992922,2013-12-03,0
jesseclark22,tt0397313,2023-05-21,1
brendadavis68,tt2381249,2003-07-21,1
donnacooper66,tt1226271,2008-04-26,0
julieclark53,tt2918436,2000-08-02,0
amylong10,tt5990342,2018-04-11,1
laurasmith61,tt1060277,2003-04-25,1
robertcarter79,tt0486674,2020-03-15,0
ryanjackson31,tt5178278,2006-11-28,0
rachelgonzales67,tt15215512,2012-07-07,0
nancyscott65,tt0290334,2011-09-10,1
kennethmiller66,tt1157605,2004-09-16,0
williemiller23,tt2793490,2001-10-16,1
kathleenevans85,tt0111845,2019-07-23,0
amysanders51,tt5563334,2017-01-17,1
catherinewhite61,tt0346156,2023-05-04,0
chrisstewart24,tt0118617,2014-09-10,1
ryanwright85,tt4633690,2002-01-31,1
louisecox19,tt0330843,2014-11-22,0
josephsanders82,tt2039338,2002-10-28,1
virginiathompson69,tt13664684,2004-11-19,1
robertgray04,tt1230204,2021-02-02,1
terrymartinez21,tt1605783,2012-08-20,1
patriciaedwards43,tt0112819,2011-07-12,1
gloriagarcia46,tt0411477,2016-08-16,0
maryrivera28,tt0119210,2005-01-25,0
irenewilliams20,tt0238552,2008-01-07,0
lorihoward77,tt7979142,2017-01-31,1
cynthiakelly73,tt4218696,2001-01-26,0
ronaldbailey94,tt0448011,2021-02-19,0
gloriapatterson01,tt0901487,2007-12-25,1
geraldwright37,tt9411972,2018-07-29,0
dianeprice82,tt0414993,2002-06-21,0
jonathangriffin86,tt0114148,2010-05-15,1
stephaniepatterson16,tt2069100,2014-08-22,0
douglastaylor62,tt0120347,2007-09-21,1
jackgreen21,tt7399470,2000-07-31,1
patriciabarnes04,tt1000774,2010-04-21,1
wandamurphy95,tt0306734,2015-05-20,1
anneperry64,tt0765128,2000-02-22,0
brendahughes83,tt2910904,2019-04-23,1
francesrobinson43,tt9648672,2001-01-03,0
victorrivera63,tt0762073,2022-09-08,1
larrywilliams17,tt6952960,2006-09-06,0
billypowell86,tt0892791,2008-07-11,1
andrewperry84,tt12298506,2007-01-09,1
kathleenmoore67,tt1078588,2005-11-30,0
susancoleman12,tt0435625,2018-11-22,1
amandapeterson58,tt0213682,2017-10-10,1
janetgarcia18,tt0102803,2019-07-28,1
marilynsimmons95,tt0099785,2014-10-04,0
jimmybaker63,tt5181830,2003-05-09,0
dianetorres70,tt3686998,2021-04-22,0
lauramorris60,tt0972883,2006-10-13,1
tammyscott70,tt0961728,2004-04-25,1
kathryncoleman68,tt0378109,2014-08-11,1
paulrivera61,tt5254868,2022-08-07,1
patriciagonzales47,tt12004038,2013-05-07,0
ryanhoward28,tt0804497,2001-01-23,0
michellehall23,tt0450314,2001-05-20,0
kevinbaker70,tt1821658,2004-12-29,1
joanalexander75,tt0452598,2005-03-12,0
barbarawood16,tt1643222,2002-11-04,0
henryjenkins66,tt0180734,2017-04-09,0
mariapatterson75,tt4614584,2012-08-03,1
beverlyfoster83,tt0116209,2021-11-20,0
bonniemorgan61,tt0102603,2001-01-28,1
johnnyjones24,tt0103112,2012-05-27,0
rubyjohnson06,tt4193394,2005-06-29,1
christinabryant29,tt3793788,2012-12-14,0
janetpeterson57,tt8772262,2010-12-08,1
patriciasanders13,tt0181739,2005-08-17,1
loisrichardson09,tt0295178,2009-04-23,1
kimberlyhernandez07,tt1446192,2008-06-01,0
frankwilson21,tt0102095,2003-08-27,1
amandacollins33,tt0358349,2008-07-18,0
jameskelly86,tt6483364,2012-11-03,0
raymondwilliams58,tt4995790,2003-09-15,0
thomastorres07,tt1025100,2015-09-01,0
williamcook74,tt6079772,2017-07-13,0
ruthyoung58,tt0104237,2009-07-26,1
alanhill70,tt2032557,2019-05-18,0
eugenereed39,tt11379988,2007-09-16,1
jimmyrodriguez78,tt0762073,2007-06-21,1
dennisgonzales09,tt2310332,2002-05-10,1
carolgreen70,tt8169446,2022-07-19,0
theresawhite26,tt5774062,2022-11-21,1
jasonpatterson06,tt5164214,2001-02-26,1
juanpowell04,tt0951335,2000-09-02,1
carlosmartinez30,tt3560686,2019-11-26,1
paulaking28,tt7094488,2000-09-22,1
walterwilliams28,tt3297330,2010-10-17,0
janetcook76,tt8179388,2016-05-18,1
anniehughes22,tt0104237,2000-04-24,1
earlrogers25,tt3682448,2004-07-24,1
cynthiarobinson83,tt0862467,2011-02-11,1
jeanlee22,tt0164114,2001-04-23,1
lisalewis44,tt0466816,2015-09-02,1
jeremyperez07,tt2032557,2008-05-23,1
kathleendiaz71,tt0217869,2004-10-31,1
jeremywatson41,tt0368226,2014-04-25,0
peterclark50,tt5076214,2021-06-02,0
rachelrodriguez70,tt1038988,2004-04-05,0
marilynharris70,tt0130236,2007-05-11,0
chrisstewart24,tt2330866,2020-01-23,0
martharogers52,tt1713476,2001-03-19,1
aaronrogers48,tt11953248,2007-10-18,1
charlesrussell38,tt2247692,2002-04-10,1
jamespatterson83,tt1950235,2020-12-12,0
marilynpatterson51,tt1469304,2022-04-12,1
catherinesanders63,tt15474916,2005-03-16,0
donnapeterson70,tt1129445,2010-11-25,0
saraross08,tt0482572,2001-02-02,1
helengreen68,tt0134033,2016-10-22,1
ruthdiaz60,tt1032815,2022-09-29,0
laurafoster31,tt0114814,2021-02-16,0
howardbailey09,tt3079380,2003-03-03,0
janetgonzales32,tt8750570,2023-04-30,0
stephenprice53,tt5446858,2012-05-03,0
jamesbarnes10,tt0106471,2009-12-26,0
jamesbrooks35,tt0108442,2003-06-24,1
dennismartinez57,tt1562872,2020-03-12,0
brendarivera08,tt5859238,2003-02-10,1
eugenejames47,tt0815245,2007-10-02,1
mariaward57,tt14209560,2004-10-23,1
evelynrichardson17,tt6802400,2017-07-19,0
debranelson34,tt1078940,2002-07-08,1
josebailey30,tt14418234,2021-10-07,1
ralphgonzalez49,tt4662420,2003-07-12,0
kathyhayes74,tt2258281,2002-01-24,1
ralphbarnes60,tt1172994,2011-09-24,1
larrymartinez78,tt0435680,2005-11-23,0
jennifersimmons60,tt2785032,2005-10-06,1
frankrobinson46,tt0432047,2004-11-13,0
marilyngarcia29,tt0490166,2000-07-04,1
ruthcollins35,tt1155056,2022-12-06,0
ericcarter90,tt0242423,2001-01-19,0
stephaniewalker90,tt0319020,2018-06-05,0
robinjackson26,tt0419677,2016-08-30,1
bruceparker58,tt0108592,2017-11-13,1
shirleycook89,tt0110329,2004-12-27,0
adamgreen76,tt2290828,2009-08-20,1
stephensmith18,tt1441326,2017-03-20,1
sandraroberts93,tt0199683,2016-12-19,1
michelleevans03,tt0795441,2005-11-28,0
ronaldjenkins06,tt0196229,2002-02-04,1
josephsimmons90,tt0267287,2014-10-08,1
amyharris31,tt9675274,2001-05-31,1
nancycollins11,tt2187884,2014-10-02,0
mildredevans91,tt13327038,2001-03-26,1
douglasevans82,tt10773090,2013-10-11,1
joebrooks51,tt0103129,2005-10-25,1
ryanross99,tt0409182,2012-06-21,0
phylliswood44,tt0117658,2000-04-26,0
kathleenperez77,tt0119472,2017-02-25,0
toddsmith36,tt7137380,2001-11-13,1
gregorycollins97,tt0119718,2001-04-26,0
joshuawhite67,tt0251160,2012-05-09,0
francestaylor39,tt17041964,2019-04-14,0
samuelpeterson56,tt0129280,2009-07-18,0
dorothymartinez56,tt11044858,2009-06-14,0
kellythomas98,tt0099423,2003-06-18,0
shawndavis58,tt1270842,2010-06-28,0
louislewis26,tt2125608,2015-02-21,1
ryanwilliams47,tt0120609,2014-10-04,1
kimberlywashington41,tt0285823,2005-06-04,0
jeanrivera29,tt0156887,2017-12-01,1
arthurhall12,tt8239946,2011-01-09,1
jessebell97,tt2461150,2023-01-20,0
dianafoster37,tt4969044,2022-04-24,0
cynthiapatterson73,tt9806322,2000-03-07,0
richardanderson39,tt0326856,2004-01-02,1
louisecook85,tt1032815,2020-03-04,1
jimmyphillips18,tt13055780,2016-09-23,1
stevenprice76,tt1649419,2008-02-20,1
louisemorgan19,tt1274586,2022-06-23,1
irenejackson87,tt1112782,2008-06-30,1
cherylbryant24,tt1050160,2005-04-30,1
waltermoore55,tt2479478,2005-09-08,0
jeffreywright30,tt1205558,2005-05-09,1
tammygonzales16,tt0119177,2019-12-15,0
scottlewis41,tt0361467,2014-07-09,0
paulahughes95,tt3399024,2021-03-28,1
saragonzales83,tt4341582,2020-12-17,1
jerrywashington34,tt2234003,2012-01-25,0
jasonjackson67,tt0118571,2003-06-07,0
briansanders74,tt3858372,2015-04-15,1
christopherrogers52,tt4779682,2009-06-22,1
patrickhall02,tt0271946,2015-05-31,1
virginiajohnson78,tt0211933,2006-04-21,1
tinanelson88,tt0259822,2017-04-25,0
josecollins73,tt0940657,2006-01-10,1
jamesperry46,tt1692190,2008-10-26,1
ryanjames21,tt0827503,2011-04-05,1
louisejackson38,tt4383594,2018-03-24,0
ruthrobinson03,tt0102510,2019-02-07,0
haroldwilson97,tt0361467,2000-08-26,0
anneperez99,tt0180748,2007-12-22,0
jacquelinealexander10,tt0464160,2000-02-27,1
jenniferedwards95,tt0295178,2009-11-09,0
catherinetorres22,tt1481572,2000-06-25,1
toddfoster61,tt1340107,2016-05-04,1
stephaniehill08,tt0099740,2004-05-02,1
peterwhite60,tt0359013,2003-08-13,1
carlthompson89,tt1007028,2010-07-03,1
charleswilliams95,tt11464826,2021-08-23,0
irenehayes69,tt0101649,2021-04-14,0
eugenecox97,tt8110640,2017-05-23,1
chrisnelson95,tt0116752,2011-09-09,1
fredwright32,tt0287717,2005-05-12,1
toddthomas94,tt10023024,2009-04-22,0
scottallen26,tt10341034,2008-10-16,0
joseanderson57,tt3079380,2014-01-15,0
kennethgriffin94,tt10023024,2001-02-15,1
kevinlee28,tt1658801,2011-01-10,0
jackrivera94,tt1686784,2004-02-20,0
paulapatterson52,tt2097298,2014-11-26,1
rachelfoster96,tt0120604,2014-11-20,0
roytorres24,tt1617661,2004-06-09,1
thomasbaker15,tt0317919,2012-02-22,0
nicholasdiaz96,tt0271367,2012-02-10,1
marthabrooks07,tt0364961,2005-12-20,0
melissawalker98,tt1059925,2014-06-23,0
lillianmoore40,tt0124879,2004-04-29,1
ronaldedwards34,tt1699231,2018-10-24,0
stevenbarnes49,tt8426594,2021-11-17,1
edwardjohnson76,tt0115940,2018-02-15,0
georgeclark82,tt9419884,2004-10-10,1
paulcooper75,tt1629705,2019-03-20,1
normawalker83,tt4444956,2012-11-25,1
freddavis12,tt0988047,2014-01-29,1
keithsanchez38,tt0192194,2000-05-24,1
theresabailey27,tt0327597,2016-12-01,1
michaellee20,tt3922818,2000-01-23,1
joseclark57,tt2675978,2008-11-11,1
ruthdavis21,tt0144168,2021-03-26,0
kennethmoore55,tt0320661,2014-07-22,0
bobbyroberts41,tt0963743,2000-08-24,1
sarasanders71,tt14033502,2007-11-06,0
walterrichardson39,tt11804152,2012-06-02,0
kathleenrussell70,tt2556874,2023-04-17,0
gloriareed55,tt1263670,2013-08-21,1
danieldavis93,tt0437232,2022-03-22,0
arthurperry03,tt0300620,2013-02-06,1
kellybennett40,tt1418646,2022-04-13,0
matthewcox70,tt0375173,2016-06-19,1
phyllisross79,tt1186830,2000-04-27,0
bettyedwards48,tt0358456,2015-01-29,0
waynetorres27,tt3978720,2005-03-14,0
antoniowatson24,tt2967286,2019-02-08,1
georgejones66,tt7167686,2003-03-14,0
rubyhughes20,tt0268380,2002-04-30,1
ryanperez05,tt0185014,2006-01-22,1
irenemiller06,tt1460743,2023-04-21,0
adamthomas24,tt1703199,2020-02-09,0
jonathanperry93,tt8456098,2014-04-03,1
pamelawright11,tt0756683,2001-06-15,1
scottbutler51,tt0960144,2021-02-02,0
edwardjackson36,tt10698174,2004-04-13,0
jasonsanders43,tt12861850,2017-03-18,0
henrywatson72,tt4429194,2018-12-11,0
debralee48,tt0330843,2018-05-17,1
deborahwilson38,tt13669038,2012-06-10,1
wandahughes85,tt0456144,2016-07-15,0
helenhernandez88,tt0780516,2018-03-04,0
barbaramurphy49,tt0103772,2005-06-07,0
carlosrichardson82,tt0119215,2018-08-15,0
rebeccacarter34,tt0151568,2005-09-01,0
stephenwood12,tt0119250,2005-11-21,1
martinevans00,tt14109724,2016-01-29,0
alicecoleman64,tt0118956,2012-10-01,1
lillianpowell37,tt2321549,2002-06-02,1
normalopez26,tt0113986,2000-07-12,0
billygonzales92,tt3960412,2000-06-23,0
louisebennett27,tt2358913,2010-05-05,0
maryphillips29,tt0109759,2004-08-18,0
ronaldperry07,tt0780567,2002-08-05,1
jasonpowell04,tt5442456,2021-03-20,1
raymondjackson37,tt2357129,2000-02-03,1
ernestgreen53,tt0318202,2022-05-20,0
kevinsmith99,tt1226774,2020-01-19,1
josephyoung85,tt2933474,2009-04-28,1
aaronhoward47,tt3978720,2002-12-14,1
mariegonzales89,tt4685806,2021-05-22,1
emilyhill04,tt0117293,2007-06-04,0
scottrodriguez69,tt0110006,2012-10-17,0
jenniferbutler50,tt0386741,2013-02-02,1
kathybryant78,tt0272152,2013-03-07,0
timothywood31,tt0404254,2000-05-07,1
virginiacarter02,tt12788488,2015-09-28,1
robinrussell21,tt11169050,2021-02-20,1
kimberlyadams58,tt0800080,2004-09-07,1
justinkelly85,tt6772804,2021-07-26,0
georgewashington07,tt0443465,2013-06-25,0
gregoryfoster78,tt3606756,2004-06-22,1
justinmitchell12,tt0120603,2019-05-12,1
joanpeterson50,tt1046173,2006-01-03,1
martinramirez35,tt0118055,2013-02-04,0
jonathanjames05,tt0264323,2019-03-07,0
charlesramirez90,tt1135084,2020-01-08,1
edwardhoward04,tt0338348,2009-02-05,0
mariehill27,tt13299890,2003-03-11,0
marthadavis05,tt2209418,2016-01-13,1
catherinebennett25,tt0120716,2001-01-21,0
sarareed18,tt1879032,2015-04-05,1
alicejones42,tt0120877,2002-08-01,0
maryphillips29,tt0245929,2007-07-28,0
melissabell33,tt6043142,2017-11-23,1
christophertorres03,tt19289040,2019-12-18,0
josephhoward13,tt0119978,2002-01-22,1
virginiagriffin90,tt0462504,2008-01-24,0
patriciaward89,tt10888708,2011-12-14,1
carlmorgan04,tt0472399,2004-03-20,0
phyllishenderson43,tt0358135,2007-01-06,1
judithwilliams68,tt2011971,2018-05-28,0
phyllisalexander00,tt7279188,2008-11-03,1
jasongriffin20,tt3495026,2008-06-07,0
judytaylor68,tt0264472,2013-01-26,1
caroljames04,tt0145893,2010-11-04,0
frankprice92,tt0106770,2007-08-13,1
katherinecox77,tt12193804,2003-08-15,1
walterwhite75,tt0208988,2002-08-18,0
charleswilliams95,tt10883004,2022-12-23,1
wandajones26,tt2054790,2000-12-22,0
louisealexander38,tt15600222,2007-11-02,1
davidtaylor86,tt0353489,2010-05-27,0
ruthjenkins16,tt8350360,2022-03-17,0
janicebryant62,tt1340107,2003-03-15,0
ernestthomas52,tt1289403,2010-05-25,0
danielpatterson65,tt0116095,2002-01-28,1
keithlopez65,tt2473794,2018-12-21,1
deborahparker44,tt0109642,2011-06-20,1
aaronbrown13,tt0100436,2010-01-02,0
brandonrussell46,tt5635086,2000-07-20,0
mariaallen63,tt6217306,2012-05-01,0
joshuagonzalez02,tt0345061,2021-11-21,1
joanharris10,tt0203632,2004-07-24,0
dianaramirez26,tt2988272,2010-08-14,0
elizabethprice16,tt4048272,2005-11-07,0
samuelreed39,tt3170902,2006-05-01,1
amandamartinez48,tt1305806,2016-05-12,1
brianbrown29,tt0195231,2010-06-21,1
marysimmons19,tt0109506,2010-08-02,0
pamelahill89,tt2121382,2004-12-10,1
donnacooper66,tt10706602,2003-12-07,0
antoniocox01,tt1197628,2000-09-05,1
jacquelinepatterson54,tt12792418,2022-03-28,1
juliecarter89,tt2281159,2005-06-22,0
joycekelly87,tt0104181,2013-09-02,0
brucenelson29,tt9689696,2006-01-18,1
ericbryant76,tt4258698,2000-01-21,1
jessemartin78,tt7518786,2020-02-15,1
